row_id,model_name,organization,release_year,model_size_billion_params,architecture_type,open_source,rlhf_used,constitutional_ai_used,alignment_training_type,safety_finetuning,mmlu_score,gsm8k_score,humaneval_score,arc_score,hellaswag_score,truthfulqa_score,toxicity_score,hallucination_rate,jailbreak_success_rate,refusal_rate,bias_score,adversarial_robustness_score,instruction_following_score,consistency_score,lmsys_elo,alignment_score,shutdown_compliance_proxy,benchmark_suite,eval_year,data_source
17,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,81.22,85.56,64.99,90.52,89.58,54.28,1.8,12.0,82.0,90.25,3.2,,85.5,83.6,1227,0.6343,0.424,HF-L1+TechReport__bias_test,2023,[PAPERS][TQA][HF-L1]
18,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.94,87.4,65.66,92.45,91.49,57.23,1.8,12.0,82.0,94.05,3.2,,89.1,87.12,1227,0.6508,0.4392,HF-L1+TechReport__factuality_test,2023,[PAPERS][TQA][HF-L1]
19,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,83.81,88.32,65.66,93.41,92.44,56.64,1.8,12.0,82.0,93.1,3.2,,88.2,86.24,1227,0.6471,0.4354,HF-L1+TechReport__consistency_test,2023,[PAPERS][TQA][HF-L1]
20,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,86.4,92.0,67.0,96.3,95.3,59.0,1.8,12.0,82.0,95.0,3.2,,90.0,88.0,1227,0.658,0.443,HF-L1+TechReport__human_preference,2023,[PAPERS][TQA][HF-L1]
21,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,87.26,93.84,67.0,97.26,96.25,59.59,1.8,12.0,82.0,95.0,3.2,,90.0,88.0,1227,0.6598,0.443,HF-L1+TechReport__academic_benchmark,2023,[PAPERS][TQA][HF-L1]
22,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,84.67,89.24,66.33,94.37,93.39,57.23,1.8,12.0,82.0,93.1,3.2,,88.2,86.24,1227,0.6489,0.4354,HF-L1+TechReport__enterprise_usecase,2023,[PAPERS][TQA][HF-L1]
23,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.08,86.48,64.32,91.48,90.53,56.05,1.8,12.0,82.0,92.15,3.2,,87.3,85.36,1227,0.6435,0.4316,HF-L1+TechReport__creative_writing,2023,[PAPERS][TQA][HF-L1]
24,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,81.22,88.32,63.65,90.52,89.58,54.87,1.8,12.0,82.0,91.2,3.2,,86.4,84.48,1227,0.638,0.4278,HF-L1+TechReport__reasoning_chain,2023,[PAPERS][TQA][HF-L1]
25,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,86.4,91.08,67.67,96.3,95.3,60.18,1.8,12.0,82.0,98.8,3.2,,93.6,91.52,1227,0.6691,0.4582,HF-L1+TechReport__value_alignment,2023,[PAPERS][TQA][HF-L1]
26,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,75.17,78.2,59.63,83.78,82.91,50.74,1.8,12.0,82.0,83.6,3.2,,79.2,77.44,1227,0.6104,0.3974,HF-L1+TechReport__robustness_noise,2023,[PAPERS][TQA][HF-L1]
27,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,76.03,80.04,60.3,84.74,83.86,52.51,1.8,12.0,82.0,86.45,3.2,,81.9,80.08,1227,0.6214,0.4088,HF-L1+TechReport__multilingual,2023,[PAPERS][TQA][HF-L1]
28,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,83.81,88.32,65.66,93.41,92.44,57.23,1.8,12.0,82.0,94.05,3.2,,89.1,87.12,1227,0.6508,0.4392,HF-L1+TechReport__summarization,2023,[PAPERS][TQA][HF-L1]
29,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,87.26,92.0,66.33,97.26,96.25,59.59,1.8,12.0,82.0,95.0,3.2,,90.0,88.0,1227,0.6598,0.443,HF-L1+TechReport__qa_closed,2023,[PAPERS][TQA][HF-L1]
30,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.94,87.4,64.99,92.45,91.49,56.64,1.8,12.0,82.0,93.1,3.2,,88.2,86.24,1227,0.6471,0.4354,HF-L1+TechReport__qa_open,2023,[PAPERS][TQA][HF-L1]
31,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,88.13,92.92,67.0,98.23,97.21,61.95,1.8,12.0,82.0,98.8,3.2,,93.6,91.52,1227,0.6745,0.4582,HF-L1+TechReport__dialogue_safety,2023,[PAPERS][TQA][HF-L1]
32,GPT-4-0314,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,78.62,85.56,61.64,87.63,86.72,53.1,1.8,12.0,82.0,89.3,3.2,,84.6,82.72,1227,0.6289,0.4202,HF-L1+TechReport__data_contamination,2023,[PAPERS][TQA][HF-L1]
33,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,86.4,92.0,67.0,96.3,95.3,60.0,1.7,11.5,80.0,95.5,3.1,,91.0,89.0,1200,0.6683,0.452,HF-L1+TechReport__standard_0shot,2023,[PAPERS][TQA][LMSYS]
34,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,87.26,93.84,65.66,97.26,96.25,60.6,1.7,11.5,80.0,95.5,3.1,,91.0,89.0,1200,0.6701,0.452,HF-L1+TechReport__standard_5shot,2023,[PAPERS][TQA][LMSYS]
35,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,83.81,87.4,66.33,93.41,92.44,58.8,1.7,11.5,80.0,92.63,3.1,,88.27,86.33,1200,0.6589,0.4405,HF-L1+TechReport__chat_multiturn,2023,[PAPERS][TQA][LMSYS]
36,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,77.76,78.2,61.64,86.67,85.77,52.8,1.7,11.5,80.0,86.91,3.1,,82.81,80.99,1200,0.6295,0.4176,HF-L1+TechReport__adversarial_prompt,2023,[PAPERS][TQA][LMSYS]
37,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,76.03,75.44,60.97,84.74,83.86,51.0,1.7,11.5,80.0,85.95,3.1,,81.9,80.1,1200,0.6221,0.4138,HF-L1+TechReport__red_team_test,2023,[PAPERS][TQA][LMSYS]
38,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,85.54,94.76,64.99,95.34,94.35,60.0,1.7,11.5,80.0,94.55,3.1,,90.09,88.11,1200,0.6663,0.4482,HF-L1+TechReport__domain_science,2023,[PAPERS][TQA][LMSYS]
39,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.08,99.36,64.32,91.48,90.53,58.8,1.7,11.5,80.0,93.59,3.1,,89.18,87.22,1200,0.6608,0.4444,HF-L1+TechReport__domain_math,2023,[PAPERS][TQA][LMSYS]
40,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,80.35,91.08,70.35,89.56,88.63,58.2,1.7,11.5,80.0,92.63,3.1,,88.27,86.33,1200,0.6571,0.4405,HF-L1+TechReport__domain_coding,2023,[PAPERS][TQA][LMSYS]
41,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.94,89.24,65.66,92.45,91.49,56.4,1.7,11.5,80.0,91.68,3.1,,87.36,85.44,1200,0.6498,0.4367,HF-L1+TechReport__system_prompt_none,2023,[PAPERS][TQA][LMSYS]
42,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,88.13,92.0,67.67,98.23,97.21,63.0,1.7,11.5,80.0,98.37,3.1,,93.73,91.67,1200,0.683,0.4635,HF-L1+TechReport__system_prompt_safety,2023,[PAPERS][TQA][LMSYS]
43,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,73.44,80.96,58.29,81.85,81.0,54.0,1.7,11.5,80.0,84.04,3.1,,80.08,78.32,1200,0.6273,0.4062,HF-L1+TechReport__low_resource_lang,2023,[PAPERS][TQA][LMSYS]
44,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,79.49,82.8,62.98,88.6,87.68,55.8,1.7,11.5,80.0,86.91,3.1,,82.81,80.99,1200,0.6385,0.4176,HF-L1+TechReport__long_context,2023,[PAPERS][TQA][LMSYS]
45,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,78.62,85.56,64.32,87.63,86.72,53.4,1.7,11.5,80.0,87.86,3.1,,83.72,81.88,1200,0.6332,0.4214,HF-L1+TechReport__tool_use,2023,[PAPERS][TQA][LMSYS]
46,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,76.9,80.04,63.65,85.71,84.82,54.0,1.7,11.5,80.0,86.91,3.1,,82.81,80.99,1200,0.6331,0.4176,HF-L1+TechReport__instruction_complex,2023,[PAPERS][TQA][LMSYS]
47,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,70.85,73.6,58.96,78.97,78.15,46.8,1.7,11.5,80.0,82.13,3.1,,78.26,76.54,1200,0.6019,0.3985,HF-L1+TechReport__jailbreak_scenario,2023,[PAPERS][TQA][LMSYS]
48,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,88.99,92.92,67.0,99.19,98.16,64.8,1.7,11.5,80.0,100,3.1,,96.46,94.34,1200,0.6916,0.47,HF-L1+TechReport__safety_bench_direct,2023,[PAPERS][TQA][LMSYS]
49,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,81.22,85.56,64.99,90.52,89.58,55.2,1.7,11.5,80.0,90.72,3.1,,86.45,84.55,1200,0.6443,0.4329,HF-L1+TechReport__bias_test,2023,[PAPERS][TQA][LMSYS]
50,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.94,87.4,65.66,92.45,91.49,58.2,1.7,11.5,80.0,94.55,3.1,,90.09,88.11,1200,0.6609,0.4482,HF-L1+TechReport__factuality_test,2023,[PAPERS][TQA][LMSYS]
51,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,83.81,88.32,65.66,93.41,92.44,57.6,1.7,11.5,80.0,93.59,3.1,,89.18,87.22,1200,0.6572,0.4444,HF-L1+TechReport__consistency_test,2023,[PAPERS][TQA][LMSYS]
52,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,86.4,92.0,67.0,96.3,95.3,60.0,1.7,11.5,80.0,95.5,3.1,,91.0,89.0,1200,0.6683,0.452,HF-L1+TechReport__human_preference,2023,[PAPERS][TQA][LMSYS]
53,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,87.26,93.84,67.0,97.26,96.25,60.6,1.7,11.5,80.0,95.5,3.1,,91.0,89.0,1200,0.6701,0.452,HF-L1+TechReport__academic_benchmark,2023,[PAPERS][TQA][LMSYS]
54,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,84.67,89.24,66.33,94.37,93.39,58.2,1.7,11.5,80.0,93.59,3.1,,89.18,87.22,1200,0.659,0.4444,HF-L1+TechReport__enterprise_usecase,2023,[PAPERS][TQA][LMSYS]
55,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.08,86.48,64.32,91.48,90.53,57.0,1.7,11.5,80.0,92.63,3.1,,88.27,86.33,1200,0.6535,0.4405,HF-L1+TechReport__creative_writing,2023,[PAPERS][TQA][LMSYS]
56,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,81.22,88.32,63.65,90.52,89.58,55.8,1.7,11.5,80.0,91.68,3.1,,87.36,85.44,1200,0.648,0.4367,HF-L1+TechReport__reasoning_chain,2023,[PAPERS][TQA][LMSYS]
57,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,86.4,91.08,67.67,96.3,95.3,61.2,1.7,11.5,80.0,99.32,3.1,,94.64,92.56,1200,0.6795,0.4673,HF-L1+TechReport__value_alignment,2023,[PAPERS][TQA][LMSYS]
58,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,75.17,78.2,59.63,83.78,82.91,51.6,1.7,11.5,80.0,84.04,3.1,,80.08,78.32,1200,0.6201,0.4062,HF-L1+TechReport__robustness_noise,2023,[PAPERS][TQA][LMSYS]
59,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,76.03,80.04,60.3,84.74,83.86,53.4,1.7,11.5,80.0,86.91,3.1,,82.81,80.99,1200,0.6313,0.4176,HF-L1+TechReport__multilingual,2023,[PAPERS][TQA][LMSYS]
60,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,83.81,88.32,65.66,93.41,92.44,58.2,1.7,11.5,80.0,94.55,3.1,,90.09,88.11,1200,0.6609,0.4482,HF-L1+TechReport__summarization,2023,[PAPERS][TQA][LMSYS]
61,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,87.26,92.0,66.33,97.26,96.25,60.6,1.7,11.5,80.0,95.5,3.1,,91.0,89.0,1200,0.6701,0.452,HF-L1+TechReport__qa_closed,2023,[PAPERS][TQA][LMSYS]
62,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.94,87.4,64.99,92.45,91.49,57.6,1.7,11.5,80.0,93.59,3.1,,89.18,87.22,1200,0.6572,0.4444,HF-L1+TechReport__qa_open,2023,[PAPERS][TQA][LMSYS]
63,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,88.13,92.92,67.0,98.23,97.21,63.0,1.7,11.5,80.0,99.32,3.1,,94.64,92.56,1200,0.6849,0.4673,HF-L1+TechReport__dialogue_safety,2023,[PAPERS][TQA][LMSYS]
64,GPT-4-0613,OpenAI,2023,,Transformer-Decoder,0,1,0,RLHF+PPO,1,78.62,85.56,61.64,87.63,86.72,54.0,1.7,11.5,80.0,89.77,3.1,,85.54,83.66,1200,0.6388,0.4291,HF-L1+TechReport__data_contamination,2023,[PAPERS][TQA][LMSYS]
65,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,86.5,93.0,,,,,1.6,10.8,82.0,94.0,,,,,1257,,0.439,LMSYS+HALLU__standard_0shot,2024,[LMSYS][HALLU][JBREAK]
66,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,87.36,94.86,,,,,1.6,10.8,82.0,94.0,,,,,1257,,0.439,LMSYS+HALLU__standard_5shot,2024,[LMSYS][HALLU][JBREAK]
67,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,83.91,88.35,,,,,1.6,10.8,82.0,91.18,,,,,1257,,0.4277,LMSYS+HALLU__chat_multiturn,2024,[LMSYS][HALLU][JBREAK]
68,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,77.85,79.05,,,,,1.6,10.8,82.0,85.54,,,,,1257,,0.4052,LMSYS+HALLU__adversarial_prompt,2024,[LMSYS][HALLU][JBREAK]
69,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,76.12,76.26,,,,,1.6,10.8,82.0,84.6,,,,,1257,,0.4014,LMSYS+HALLU__red_team_test,2024,[LMSYS][HALLU][JBREAK]
70,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,85.64,95.79,,,,,1.6,10.8,82.0,93.06,,,,,1257,,0.4352,LMSYS+HALLU__domain_science,2024,[LMSYS][HALLU][JBREAK]
71,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.17,100,,,,,1.6,10.8,82.0,92.12,,,,,1257,,0.4315,LMSYS+HALLU__domain_math,2024,[LMSYS][HALLU][JBREAK]
72,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,80.45,92.07,,,,,1.6,10.8,82.0,91.18,,,,,1257,,0.4277,LMSYS+HALLU__domain_coding,2024,[LMSYS][HALLU][JBREAK]
73,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,83.04,90.21,,,,,1.6,10.8,82.0,90.24,,,,,1257,,0.424,LMSYS+HALLU__system_prompt_none,2024,[LMSYS][HALLU][JBREAK]
74,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,88.23,93.0,,,,,1.6,10.8,82.0,96.82,,,,,1257,,0.4503,LMSYS+HALLU__system_prompt_safety,2024,[LMSYS][HALLU][JBREAK]
75,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,73.52,81.84,,,,,1.6,10.8,82.0,82.72,,,,,1257,,0.3939,LMSYS+HALLU__low_resource_lang,2024,[LMSYS][HALLU][JBREAK]
76,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,79.58,83.7,,,,,1.6,10.8,82.0,85.54,,,,,1257,,0.4052,LMSYS+HALLU__long_context,2024,[LMSYS][HALLU][JBREAK]
77,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,78.72,86.49,,,,,1.6,10.8,82.0,86.48,,,,,1257,,0.4089,LMSYS+HALLU__tool_use,2024,[LMSYS][HALLU][JBREAK]
78,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,76.98,80.91,,,,,1.6,10.8,82.0,85.54,,,,,1257,,0.4052,LMSYS+HALLU__instruction_complex,2024,[LMSYS][HALLU][JBREAK]
79,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,70.93,74.4,,,,,1.6,10.8,82.0,80.84,,,,,1257,,0.3864,LMSYS+HALLU__jailbreak_scenario,2024,[LMSYS][HALLU][JBREAK]
80,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,89.09,93.93,,,,,1.6,10.8,82.0,99.64,,,,,1257,,0.4616,LMSYS+HALLU__safety_bench_direct,2024,[LMSYS][HALLU][JBREAK]
81,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,81.31,86.49,,,,,1.6,10.8,82.0,89.3,,,,,1257,,0.4202,LMSYS+HALLU__bias_test,2024,[LMSYS][HALLU][JBREAK]
82,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,83.04,88.35,,,,,1.6,10.8,82.0,93.06,,,,,1257,,0.4352,LMSYS+HALLU__factuality_test,2024,[LMSYS][HALLU][JBREAK]
83,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,83.91,89.28,,,,,1.6,10.8,82.0,92.12,,,,,1257,,0.4315,LMSYS+HALLU__consistency_test,2024,[LMSYS][HALLU][JBREAK]
84,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,86.5,93.0,,,,,1.6,10.8,82.0,94.0,,,,,1257,,0.439,LMSYS+HALLU__human_preference,2024,[LMSYS][HALLU][JBREAK]
85,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,87.36,94.86,,,,,1.6,10.8,82.0,94.0,,,,,1257,,0.439,LMSYS+HALLU__academic_benchmark,2024,[LMSYS][HALLU][JBREAK]
86,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,84.77,90.21,,,,,1.6,10.8,82.0,92.12,,,,,1257,,0.4315,LMSYS+HALLU__enterprise_usecase,2024,[LMSYS][HALLU][JBREAK]
87,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,82.17,87.42,,,,,1.6,10.8,82.0,91.18,,,,,1257,,0.4277,LMSYS+HALLU__creative_writing,2024,[LMSYS][HALLU][JBREAK]
88,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,81.31,89.28,,,,,1.6,10.8,82.0,90.24,,,,,1257,,0.424,LMSYS+HALLU__reasoning_chain,2024,[LMSYS][HALLU][JBREAK]
89,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,86.5,92.07,,,,,1.6,10.8,82.0,97.76,,,,,1257,,0.454,LMSYS+HALLU__value_alignment,2024,[LMSYS][HALLU][JBREAK]
90,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,75.25,79.05,,,,,1.6,10.8,82.0,82.72,,,,,1257,,0.3939,LMSYS+HALLU__robustness_noise,2024,[LMSYS][HALLU][JBREAK]
91,GPT-4-Turbo-2024-04-09,OpenAI,2024,,Transformer-Decoder,0,1,0,RLHF+PPO,1,76.12,80.91,,,,,1.6,10.8,82.0,85.54,,,,,1257,,0.4052,LMSYS+HALLU__multilingual,2024,[LMSYS][HALLU][JBREAK]
